Place,Crime Category,Year,Amount
Málaga,    1.1.-Homicidios dolosos/asesinatos,2014,46.0
Málaga,    1.1.-Homicidios dolosos/asesinatos,2013,50.0
Málaga,    1.1.-Homicidios dolosos/asesinatos,2012,50.0
Málaga,    1.1.-Homicidios dolosos/asesinatos,2011,67.0
Málaga,    1.1.-Homicidios dolosos/asesinatos,2010,65.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2022,17.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2021,15.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2020,8.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2019,25.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2018,21.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2017,9.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2016,19.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2015,17.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2014,18.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2013,18.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2012,17.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2011,18.0
Málaga,    1.1.1.-Homicidios dolosos/asesinatos consumados,2010,15.0
Málaga,    1.2.-Lesiones,2022,4894.0
Málaga,    1.2.-Lesiones,2021,4319.0
Málaga,    1.2.-Lesiones,2020,3606.0
Málaga,    1.2.-Lesiones,2019,4292.0
Málaga,    1.2.-Lesiones,2018,4084.0
Málaga,    1.2.-Lesiones,2017,3996.0
Málaga,    1.2.-Lesiones,2016,3835.0
Málaga,    1.2.-Lesiones,2015,3483.0
Málaga,    1.2.-Lesiones,2014,3742.0
Málaga,    1.2.-Lesiones,2013,3868.0
Málaga,    1.2.-Lesiones,2012,4235.0
Málaga,    1.2.-Lesiones,2011,4441.0
Málaga,    1.2.-Lesiones,2010,4607.0
Málaga,    1.3.-Malos tratos ámbito familiar,2022,4770.0
Málaga,    1.3.-Malos tratos ámbito familiar,2021,4211.0
Málaga,    1.3.-Malos tratos ámbito familiar,2020,3932.0
Málaga,    1.3.-Malos tratos ámbito familiar,2019,4113.0
Málaga,    1.3.-Malos tratos ámbito familiar,2018,3914.0
Málaga,    1.3.-Malos tratos ámbito familiar,2017,3839.0
Málaga,    1.3.-Malos tratos ámbito familiar,2016,3654.0
Málaga,    1.3.-Malos tratos ámbito familiar,2015,3876.0
Málaga,    1.3.-Malos tratos ámbito familiar,2014,3726.0
Málaga,    1.3.-Malos tratos ámbito familiar,2013,3619.0
Málaga,    1.3.-Malos tratos ámbito familiar,2012,3611.0
Málaga,    1.3.-Malos tratos ámbito familiar,2011,3702.0
Málaga,    1.3.-Malos tratos ámbito familiar,2010,3432.0
Málaga,    1.4.-Otros contra las personas,2022,164.0
Málaga,    1.4.-Otros contra las personas,2021,146.0
Málaga,    1.4.-Otros contra las personas,2020,108.0
Málaga,    1.4.-Otros contra las personas,2019,156.0
Málaga,    1.4.-Otros contra las personas,2018,156.0
Málaga,    1.4.-Otros contra las personas,2017,133.0
Málaga,    1.4.-Otros contra las personas,2016,81.0
Málaga,    1.4.-Otros contra las personas,2015,2364.0
Málaga,    1.4.-Otros contra las personas,2014,4488.0
Málaga,    1.4.-Otros contra las personas,2013,4670.0
Málaga,    1.4.-Otros contra las personas,2012,5085.0
Málaga,    1.4.-Otros contra las personas,2011,5297.0
Málaga,    1.4.-Otros contra las personas,2010,4879.0
Málaga,    2. CONTRA LA LIBERTAD,2022,6212.0
Málaga,    2. CONTRA LA LIBERTAD,2021,5646.0
Málaga,    2. CONTRA LA LIBERTAD,2020,5159.0
Málaga,    2. CONTRA LA LIBERTAD,2019,4883.0
Málaga,    2. CONTRA LA LIBERTAD,2018,4805.0
Málaga,    2. CONTRA LA LIBERTAD,2017,4521.0
Málaga,    2. CONTRA LA LIBERTAD,2016,4373.0
Málaga,    2. CONTRA LA LIBERTAD,2015,2478.0
Málaga,    2. CONTRA LA LIBERTAD,2014,1286.0
Málaga,    2. CONTRA LA LIBERTAD,2013,1285.0
Málaga,    2. CONTRA LA LIBERTAD,2012,1202.0
Málaga,    2. CONTRA LA LIBERTAD,2011,1327.0
Málaga,    2. CONTRA LA LIBERTAD,2010,1261.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2022,441.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2021,386.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2020,422.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2019,440.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2018,381.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2017,372.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2016,283.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2015,256.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2014,311.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2013,298.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2012,219.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2011,254.0
Málaga,    2.1.-Malos tratos habituales en el ámbito familiar,2010,232.0
Málaga,    2.2.-Otros contra la libertad,2022,5771.0
Málaga,    2.2.-Otros contra la libertad,2021,5260.0
Málaga,    2.2.-Otros contra la libertad,2020,4737.0
Málaga,    2.2.-Otros contra la libertad,2019,4443.0
Málaga,    2.2.-Otros contra la libertad,2018,4424.0
Málaga,    2.2.-Otros contra la libertad,2017,4149.0
Málaga,    2.2.-Otros contra la libertad,2016,4090.0
Málaga,    2.2.-Otros contra la libertad,2015,2222.0
Málaga,    2.2.-Otros contra la libertad,2014,975.0
Málaga,    2.2.-Otros contra la libertad,2013,987.0
Málaga,    2.2.-Otros contra la libertad,2012,983.0
Málaga,    2.2.-Otros contra la libertad,2011,1073.0
Málaga,    2.2.-Otros contra la libertad,2010,1029.0
Málaga,    3. LIBERTAD SEXUAL,2022,698.0
Málaga,    3. LIBERTAD SEXUAL,2021,577.0
Málaga,    3. LIBERTAD SEXUAL,2020,458.0
Málaga,    3. LIBERTAD SEXUAL,2019,560.0
Málaga,    3. LIBERTAD SEXUAL,2018,549.0
Málaga,    3. LIBERTAD SEXUAL,2017,483.0
Málaga,    3. LIBERTAD SEXUAL,2016,435.0
Málaga,    3. LIBERTAD SEXUAL,2015,385.0
Málaga,    3. LIBERTAD SEXUAL,2014,358.0
Málaga,    3. LIBERTAD SEXUAL,2013,462.0
Málaga,    3. LIBERTAD SEXUAL,2012,365.0
Málaga,    3. LIBERTAD SEXUAL,2011,403.0
Málaga,    3. LIBERTAD SEXUAL,2010,392.0
Málaga,    3.1.-Agresión sexual,2022,422.0
Málaga,    3.1.-Agresión sexual,2021,355.0
Málaga,    3.1.-Agresión sexual,2020,248.0
Málaga,    3.1.-Agresión sexual,2019,307.0
Málaga,    3.1.-Agresión sexual,2018,331.0
Málaga,    3.1.-Agresión sexual,2017,271.0
Málaga,    3.1.-Agresión sexual,2016,265.0
Málaga,    3.1.-Agresión sexual,2015,182.0
Málaga,    3.1.-Agresión sexual,2014,190.0
Málaga,    3.1.-Agresión sexual,2013,244.0
Málaga,    3.1.-Agresión sexual,2012,216.0
Málaga,    3.1.-Agresión sexual,2011,230.0
Málaga,    3.1.-Agresión sexual,2010,203.0
Málaga,    3.2.-Agresión sexual con penetración,2022,122.0
Málaga,    3.2.-Agresión sexual con penetración,2021,91.0
Málaga,    3.2.-Agresión sexual con penetración,2020,92.0
Málaga,    3.2.-Agresión sexual con penetración,2019,90.0
Málaga,    3.2.-Agresión sexual con penetración,2018,65.0
Málaga,    3.2.-Agresión sexual con penetración,2017,70.0
Málaga,    3.2.-Agresión sexual con penetración,2016,53.0
Málaga,    3.2.-Agresión sexual con penetración,2015,67.0
Málaga,    3.2.-Agresión sexual con penetración,2014,47.0
Málaga,    3.2.-Agresión sexual con penetración,2013,70.0
Málaga,    3.2.-Agresión sexual con penetración,2012,52.0
Málaga,    3.2.-Agresión sexual con penetración,2011,60.0
Málaga,    3.2.-Agresión sexual con penetración,2010,56.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2022,18.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2021,20.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2020,14.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2019,23.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2018,13.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2017,19.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2016,17.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2015,28.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2014,15.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2013,37.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2012,16.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2011,16.0
Málaga,    3.3.-Corrupción de menores o incapacitados,2010,20.0
Málaga,    3.4.-Pornografía de menores,2022,22.0
Málaga,    3.4.-Pornografía de menores,2021,28.0
Málaga,    3.4.-Pornografía de menores,2020,28.0
Málaga,    3.4.-Pornografía de menores,2019,36.0
Málaga,    3.4.-Pornografía de menores,2018,37.0
Málaga,    3.4.-Pornografía de menores,2017,34.0
Málaga,    3.4.-Pornografía de menores,2016,13.0
Málaga,    3.4.-Pornografía de menores,2015,37.0
Málaga,    3.4.-Pornografía de menores,2014,24.0
Málaga,    3.4.-Pornografía de menores,2013,21.0
Málaga,    3.4.-Pornografía de menores,2012,18.0
Málaga,    3.4.-Pornografía de menores,2011,25.0
Málaga,    3.4.-Pornografía de menores,2010,20.0
Málaga,    3.5.-Otros contra la libertad sexual,2022,114.0
Málaga,    3.5.-Otros contra la libertad sexual,2021,83.0
Málaga,    3.5.-Otros contra la libertad sexual,2020,76.0
Málaga,    3.5.-Otros contra la libertad sexual,2019,104.0
Málaga,    3.5.-Otros contra la libertad sexual,2018,103.0
Málaga,    3.5.-Otros contra la libertad sexual,2017,89.0
Málaga,    3.5.-Otros contra la libertad sexual,2016,87.0
Málaga,    3.5.-Otros contra la libertad sexual,2015,71.0
Málaga,    3.5.-Otros contra la libertad sexual,2014,82.0
Málaga,    3.5.-Otros contra la libertad sexual,2013,90.0
Málaga,    3.5.-Otros contra la libertad sexual,2012,63.0
Málaga,    3.5.-Otros contra la libertad sexual,2011,72.0
Málaga,    3.5.-Otros contra la libertad sexual,2010,93.0
Málaga,    4. RELACIONES FAMILIARES,2022,355.0
Málaga,    4. RELACIONES FAMILIARES,2021,363.0
Málaga,    4. RELACIONES FAMILIARES,2020,343.0
Málaga,    4. RELACIONES FAMILIARES,2019,298.0
Málaga,    4. RELACIONES FAMILIARES,2018,288.0
Málaga,    4. RELACIONES FAMILIARES,2017,311.0
Málaga,    4. RELACIONES FAMILIARES,2016,294.0
Málaga,    4. RELACIONES FAMILIARES,2015,380.0
Málaga,    4. RELACIONES FAMILIARES,2014,383.0
Málaga,    4. RELACIONES FAMILIARES,2013,350.0
Málaga,    4. RELACIONES FAMILIARES,2012,352.0
Málaga,    4. RELACIONES FAMILIARES,2011,318.0
Málaga,    4. RELACIONES FAMILIARES,2010,296.0
Málaga,    5. PATRIMONIO,2022,66149.0
Málaga,    5. PATRIMONIO,2021,52840.0
Málaga,    5. PATRIMONIO,2020,45821.0
Málaga,    5. PATRIMONIO,2019,58835.0
Málaga,    5. PATRIMONIO,2018,58876.0
Málaga,    5. PATRIMONIO,2017,57651.0
Málaga,    5. PATRIMONIO,2016,59197.0
Málaga,    5. PATRIMONIO,2015,57075.0
Málaga,    5. PATRIMONIO,2014,57103.0
Málaga,    5. PATRIMONIO,2013,67092.0
Málaga,    5. PATRIMONIO,2012,74084.0
Málaga,    5. PATRIMONIO,2011,78489.0
Málaga,    5. PATRIMONIO,2010,82661.0
Málaga,    5.1.-Hurtos,2022,25167.0
Málaga,    5.1.-Hurtos,2021,18720.0
Málaga,    5.1.-Hurtos,2020,15265.0
Málaga,    5.1.-Hurtos,2019,24513.0
Málaga,    5.1.-Hurtos,2018,25261.0
Málaga,    5.1.-Hurtos,2017,27114.0
Málaga,    5.1.-Hurtos,2016,29458.0
Málaga,    5.1.-Hurtos,2015,28750.0
Málaga,    5.1.-Hurtos,2014,28416.0
Málaga,    5.1.-Hurtos,2013,34000.0
Málaga,    5.1.-Hurtos,2012,37676.0
Málaga,    5.1.-Hurtos,2011,39053.0
Málaga,    5.1.-Hurtos,2010,41412.0
Málaga,    5.2.-Robos con fuerza en las cosas,2022,9426.0
Málaga,    5.2.-Robos con fuerza en las cosas,2021,8461.0
Málaga,    5.2.-Robos con fuerza en las cosas,2020,7688.0
Málaga,    5.2.-Robos con fuerza en las cosas,2019,9662.0
Málaga,    5.2.-Robos con fuerza en las cosas,2018,9748.0
Málaga,    5.2.-Robos con fuerza en las cosas,2017,10683.0
Málaga,    5.2.-Robos con fuerza en las cosas,2016,11241.0
Málaga,    5.2.-Robos con fuerza en las cosas,2015,10662.0
Málaga,    5.2.-Robos con fuerza en las cosas,2014,11304.0
Málaga,    5.2.-Robos con fuerza en las cosas,2013,13731.0
Málaga,    5.2.-Robos con fuerza en las cosas,2012,15126.0
Málaga,    5.2.-Robos con fuerza en las cosas,2011,16943.0
Málaga,    5.2.-Robos con fuerza en las cosas,2010,18397.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2022,3896.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2021,3552.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2020,2584.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2019,3325.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2018,3597.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2017,4125.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2016,4345.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2015,4235.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2014,4254.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2013,5300.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2012,6317.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2011,7147.0
Málaga,    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2010,6750.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2022,3348.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2021,2933.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2020,3007.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2019,4047.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2018,3863.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2017,4096.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2016,4316.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2015,3768.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2014,4198.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2013,5073.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2012,5173.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2011,4599.0
Málaga,    5.2.2.-Robos con fuerza en viviendas,2010,5793.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2022,1143.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2021,1042.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2020,1114.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2019,1232.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2018,1229.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2017,1358.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2016,1376.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2015,1410.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2014,1409.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2013,1649.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2012,1518.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2011,1632.0
Málaga,    5.2.3.-Robos con fuerza en establecimientos,2010,2177.0
Málaga,    5.3.-Robos con violencia o intimidación,2022,1742.0
Málaga,    5.3.-Robos con violencia o intimidación,2021,1388.0
Málaga,    5.3.-Robos con violencia o intimidación,2020,1119.0
Málaga,    5.3.-Robos con violencia o intimidación,2019,1599.0
Málaga,    5.3.-Robos con violencia o intimidación,2018,1477.0
Málaga,    5.3.-Robos con violencia o intimidación,2017,1523.0
Málaga,    5.3.-Robos con violencia o intimidación,2016,1594.0
Málaga,    5.3.-Robos con violencia o intimidación,2015,1535.0
Málaga,    5.3.-Robos con violencia o intimidación,2014,1758.0
Málaga,    5.3.-Robos con violencia o intimidación,2013,2222.0
Málaga,    5.3.-Robos con violencia o intimidación,2012,2644.0
Málaga,    5.3.-Robos con violencia o intimidación,2011,2762.0
Málaga,    5.3.-Robos con violencia o intimidación,2010,2799.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2022,1139.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2021,893.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2020,711.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2019,1028.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2018,958.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2017,1035.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2016,1102.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2015,1044.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2014,1200.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2013,1525.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2012,1836.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2011,1865.0
Málaga,    5.3.1.-Robos con violencia en vía pública,2010,1934.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2022,149.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2021,146.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2020,101.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2019,146.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2018,119.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2017,116.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2016,124.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2015,113.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2014,152.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2013,173.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2012,189.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2011,142.0
Málaga,    5.3.2.-Robos con violencia en viviendas,2010,191.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2022,246.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2021,213.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2020,212.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2019,264.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2018,223.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2017,212.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2016,189.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2015,211.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2014,245.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2013,354.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2012,370.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2011,322.0
Málaga,    5.3.3.-Robos con violencia en establecimientos,2010,446.0
Málaga,    5.4.-Sustracción de vehículos,2022,1742.0
Málaga,    5.4.-Sustracción de vehículos,2021,1493.0
Málaga,    5.4.-Sustracción de vehículos,2020,1293.0
Málaga,    5.4.-Sustracción de vehículos,2019,1757.0
Málaga,    5.4.-Sustracción de vehículos,2018,1945.0
Málaga,    5.4.-Sustracción de vehículos,2017,2252.0
Málaga,    5.4.-Sustracción de vehículos,2016,2244.0
Málaga,    5.4.-Sustracción de vehículos,2015,2522.0
Málaga,    5.4.-Sustracción de vehículos,2014,2236.0
Málaga,    5.4.-Sustracción de vehículos,2013,2484.0
Málaga,    5.4.-Sustracción de vehículos,2012,3127.0
Málaga,    5.4.-Sustracción de vehículos,2011,3533.0
Málaga,    5.4.-Sustracción de vehículos,2010,4104.0
Málaga,    5.5.-Estafas,2022,17416.0
Málaga,    5.5.-Estafas,2021,12597.0
Málaga,    5.5.-Estafas,2020,11560.0
Málaga,    5.5.-Estafas,2019,10806.0
Málaga,    5.5.-Estafas,2018,9734.0
Málaga,    5.5.-Estafas,2017,5752.0
Málaga,    5.5.-Estafas,2016,5209.0
Málaga,    5.5.-Estafas,2015,4859.0
Málaga,    5.5.-Estafas,2014,4367.0
Málaga,    5.5.-Estafas,2013,4425.0
Málaga,    5.5.-Estafas,2012,4634.0
Málaga,    5.5.-Estafas,2011,4780.0
Málaga,    5.5.-Estafas,2010,4102.0
Málaga,    5.5.1.-Estafas informáticas,2022,10230.0
Málaga,    5.5.1.-Estafas informáticas,2021,7471.0
Málaga,    5.5.1.-Estafas informáticas,2020,8064.0
Málaga,    5.5.1.-Estafas informáticas,2019,5565.0
Málaga,    5.5.1.-Estafas informáticas,2018,2738.0
Málaga,    5.5.1.-Estafas informáticas,2017,1676.0
Málaga,    5.5.1.-Estafas informáticas,2016,1238.0
Málaga,    5.5.1.-Estafas informáticas,2015,1098.0
Málaga,    5.5.1.-Estafas informáticas,2014,936.0
Málaga,    5.5.1.-Estafas informáticas,2013,838.0
Málaga,    5.5.1.-Estafas informáticas,2012,768.0
Málaga,    5.5.1.-Estafas informáticas,2011,686.0
Málaga,    5.5.1.-Estafas informáticas,2010,745.0
Málaga,    5.6.-Daños,2022,8034.0
Málaga,    5.6.-Daños,2021,7862.0
Málaga,    5.6.-Daños,2020,6823.0
Málaga,    5.6.-Daños,2019,8244.0
Málaga,    5.6.-Daños,2018,8187.0
Málaga,    5.6.-Daños,2017,8102.0
Málaga,    5.6.-Daños,2016,7747.0
Málaga,    5.6.-Daños,2015,7010.0
Málaga,    5.6.-Daños,2014,7201.0
Málaga,    5.6.-Daños,2013,8311.0
Málaga,    5.6.-Daños,2012,9434.0
Málaga,    5.6.-Daños,2011,10037.0
Málaga,    5.6.-Daños,2010,10481.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2022,54.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2021,87.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2020,133.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2019,240.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2018,303.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2017,230.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2016,255.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2015,177.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2014,340.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2013,500.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2012,223.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2011,230.0
Málaga,    5.7.-Contra la propiedad intelectual/industrial,2010,399.0
Málaga,    5.8.-Blanqueo de capitales,2022,40.0
Málaga,    5.8.-Blanqueo de capitales,2021,33.0
Málaga,    5.8.-Blanqueo de capitales,2020,24.0
Málaga,    5.8.-Blanqueo de capitales,2019,23.0
Málaga,    5.8.-Blanqueo de capitales,2018,25.0
Málaga,    5.8.-Blanqueo de capitales,2017,16.0
Málaga,    5.8.-Blanqueo de capitales,2016,18.0
Málaga,    5.8.-Blanqueo de capitales,2015,28.0
Málaga,    5.8.-Blanqueo de capitales,2014,31.0
Málaga,    5.8.-Blanqueo de capitales,2013,33.0
Málaga,    5.8.-Blanqueo de capitales,2012,24.0
Málaga,    5.8.-Blanqueo de capitales,2011,24.0
Málaga,    5.8.-Blanqueo de capitales,2010,20.0
Málaga,    5.9.-Otros contra el patrimonio,2022,2528.0
Málaga,    5.9.-Otros contra el patrimonio,2021,2199.0
Málaga,    5.9.-Otros contra el patrimonio,2020,1916.0
Málaga,    5.9.-Otros contra el patrimonio,2019,1991.0
Málaga,    5.9.-Otros contra el patrimonio,2018,2196.0
Málaga,    5.9.-Otros contra el patrimonio,2017,1979.0
Málaga,    5.9.-Otros contra el patrimonio,2016,1431.0
Málaga,    5.9.-Otros contra el patrimonio,2015,1532.0
Málaga,    5.9.-Otros contra el patrimonio,2014,1450.0
Málaga,    5.9.-Otros contra el patrimonio,2013,1386.0
Málaga,    5.9.-Otros contra el patrimonio,2012,1196.0
Málaga,    5.9.-Otros contra el patrimonio,2011,1127.0
Málaga,    5.9.-Otros contra el patrimonio,2010,947.0
Málaga,    6. SEGURIDAD COLECTIVA,2022,3289.0
Málaga,    6. SEGURIDAD COLECTIVA,2021,3201.0
Málaga,    6. SEGURIDAD COLECTIVA,2020,2821.0
Málaga,    6. SEGURIDAD COLECTIVA,2019,3052.0
Málaga,    6. SEGURIDAD COLECTIVA,2018,2846.0
Málaga,    6. SEGURIDAD COLECTIVA,2017,2804.0
Málaga,    6. SEGURIDAD COLECTIVA,2016,2959.0
Málaga,    6. SEGURIDAD COLECTIVA,2015,2763.0
Málaga,    6. SEGURIDAD COLECTIVA,2014,3108.0
Málaga,    6. SEGURIDAD COLECTIVA,2013,3381.0
Málaga,    6. SEGURIDAD COLECTIVA,2012,3607.0
Málaga,    6. SEGURIDAD COLECTIVA,2011,3827.0
Málaga,    6. SEGURIDAD COLECTIVA,2010,2939.0
Málaga,    6.1.-Tráfico de drogas,2022,1102.0
Málaga,    6.1.-Tráfico de drogas,2021,1078.0
Málaga,    6.1.-Tráfico de drogas,2020,1045.0
Málaga,    6.1.-Tráfico de drogas,2019,1006.0
Málaga,    6.1.-Tráfico de drogas,2018,924.0
Málaga,    6.1.-Tráfico de drogas,2017,934.0
Málaga,    6.1.-Tráfico de drogas,2016,831.0
Málaga,    6.1.-Tráfico de drogas,2015,776.0
Málaga,    6.1.-Tráfico de drogas,2014,808.0
Málaga,    6.1.-Tráfico de drogas,2013,789.0
Málaga,    6.1.-Tráfico de drogas,2012,747.0
Málaga,    6.1.-Tráfico de drogas,2011,803.0
Málaga,    6.1.-Tráfico de drogas,2010,716.0
Málaga,    6.2.-Contra la seguridad vial,2022,2062.0
Málaga,    6.2.-Contra la seguridad vial,2021,2024.0
Málaga,    6.2.-Contra la seguridad vial,2020,1683.0
Málaga,    6.2.-Contra la seguridad vial,2019,1964.0
Málaga,    6.2.-Contra la seguridad vial,2018,1868.0
Málaga,    6.2.-Contra la seguridad vial,2017,1799.0
Málaga,    6.2.-Contra la seguridad vial,2016,2066.0
Málaga,    6.2.-Contra la seguridad vial,2015,1927.0
Málaga,    6.2.-Contra la seguridad vial,2014,2216.0
Málaga,    6.2.-Contra la seguridad vial,2013,2512.0
Málaga,    6.2.-Contra la seguridad vial,2012,2767.0
Málaga,    6.2.-Contra la seguridad vial,2011,2924.0
Málaga,    6.2.-Contra la seguridad vial,2010,2067.0
Málaga,    6.3.-Otros contra la seguridad colectiva,2022,125.0
Málaga,    6.3.-Otros contra la seguridad colectiva,2021,99.0
Málaga,    6.3.-Otros contra la seguridad colectiva,2020,93.0
Málaga,    6.3.-Otros contra la seguridad colectiva,2019,82.0
Málaga,    6.3.-Otros contra la seguridad colectiva,2018,54.0
